trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-50.9762782639872,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,8,-130.04303229890607,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-53.45337457023806,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-104.54752108413548,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-44.57511548592703,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,15,-50.5009563020944,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-157.68360610452814,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-34.88758058053333,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-148.02896198325539,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,-33.6736084894377,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,8,-14.261961537479525,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,7,-41.864538436270465,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,19.60501360045613,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-41.08080158448388,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,12.55604039890907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,4.450227883942946,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,19.56053308298083,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,-68.34927873949833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,20,-32.00802787159549,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,-3.853443723208628,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,20,-23.074417441187002,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,20,2.287084016311394,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,8,-27.699187445370477,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-9.569472668977706,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-7.588072363293804,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-58.446617571475045,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,8,23.16467339383408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,21.13454588161486,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,23.191189153500368,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,4,-52.72315613764753,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
