trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",30,0,-220.15868764623713,"{0: 14, 1: 6, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.95}",20,0,-55.07971202267844,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.9025}",25,0,-41.68771963728102,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.8573749999999999}",25,0,-78.88904227181956,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.8145062499999999}",20,0,-103.46386449876874,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.1, 'e': 0.7737809374999998}",25,13,-46.66913746910408,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.1, 'e': 0.7350918906249998}",20,0,-251.65714061269043,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 5}",0
8,False,"{'a': 0.1, 'e': 0.6983372960937497}",25,7,-71.44581757746492,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.6634204312890623}",25,0,-79.79198373459359,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.6302494097246091}",20,0,-86.03524821245774,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.5987369392383787}",20,0,-128.60843169622885,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.5688000922764597}",20,6,0.09228540616615977,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.5403600876626367}",20,0,-63.63589420076505,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.5133420832795048}",25,0,-171.13168377894647,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",1
15,False,"{'a': 0.1, 'e': 0.48767497911552954}",25,0,19.65541981421591,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.46329123015975304}",20,0,-39.05770338262794,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.1, 'e': 0.44012666865176536}",25,2,-95.17358244159897,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1
18,False,"{'a': 0.1, 'e': 0.4181203352191771}",25,16,10.062088625714907,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.3972143184582182}",25,0,-52.75207020889702,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.37735360253530725}",30,9,-57.158600021588406,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
21,False,"{'a': 0.1, 'e': 0.3584859224085419}",25,20,8.026097636091002,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.3405616262881148}",35,13,-3.356397605103356,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.323533544973709}",20,5,-1.770104823769103,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.3073568677250236}",25,15,5.726606202641415,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.2919890243387724}",25,9,-6.513708221145995,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.1, 'e': 0.27738957312183377}",25,15,19.699078899307615,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.26352009446574204}",20,13,-42.81989773884189,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.2503440897424549}",25,2,-35.487007465523845,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.1, 'e': 0.23782688525533216}",25,14,7.147807629297441,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.22593554099256555}",25,13,9.175058594502218,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.21463876394293727}",25,11,11.472259713570832,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.2039068257457904}",25,11,15.222234611475876,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.1, 'e': 0.19371148445850087}",25,0,16.482733855463927,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.18402591023557582}",20,7,4.739947532664017,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.174824614723797}",25,20,8.290241685068192,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.16608338398760716}",25,11,-28.64634165864604,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.1, 'e': 0.1577792147882268}",25,8,3.7777485213604534,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.14989025404881545}",25,16,14.720243907451017,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.14239574134637467}",20,8,19.294010851454406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.1, 'e': 0.13527595427905592}",20,8,5.024413810598068,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.12851215656510312}",20,11,3.5716859928140563,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.1, 'e': 0.12208654873684796}",30,16,-26.878336200503846,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.1, 'e': 0.11598222130000556}",20,10,10.901296121752564,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.11018311023500528}",30,3,-4.313970150402437,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.1, 'e': 0.10467395472325501}",25,5,10.866909556267697,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.09944025698709225}",20,12,12.910913637925534,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.09446824413773763}",20,13,6.350546421212393,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.08974483193085075}",25,17,-7.531850452182541,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.0852575903343082}",25,12,-20.10980305614131,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.0809947108175928}",20,13,13.33124373182478,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.07694497527671315}",20,10,16.987812223770366,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.07309772651287749}",20,10,-30.014121240325522,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.1, 'e': 0.06944284018723361}",25,11,13.082596726907651,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.06597069817787193}",20,6,-17.77879651210351,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.1, 'e': 0.06267216326897833}",30,14,33.16355407624562,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.05953855510552941}",20,8,18.297245786406055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.056561627350252934}",20,13,-31.92850800273634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.1, 'e': 0.053733545982740286}",25,17,13.924041933232488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.051046868683603266}",30,10,38.77507435811679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.048494525249423104}",25,0,17.764892294045346,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.046069798986951946}",30,20,15.753896573621873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.043766309037604346}",20,6,24.31763819184051,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.04157799358572413}",25,17,14.449224678524088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.03949909390643792}",20,11,15.413873686772687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
