trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.79363286029573,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-169.92865288999874,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9025}",20,0,-136.7388342246647,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-125.73787972020438,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-128.72870709610797,"{0: 7, 1: 7, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7737809374999998}",25,4,-179.71395293952327,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,7,-25.765338057423296,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-138.33747688055783,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-116.23814887434828,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,0,-100.67157511785898,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5987369392383787}",30,0,-89.93144038608966,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5688000922764597}",35,0,-252.06100357846483,"{0: 17, 1: 4, 2: 9, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.5403600876626367}",20,0,-6.40034984549622,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.5133420832795048}",25,0,-212.427540218303,"{0: 9, 1: 4, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.48767497911552954}",30,0,-170.70109839731202,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.46329123015975304}",20,0,-75.73241649725202,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.44012666865176536}",25,0,-117.85074636765489,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.4181203352191771}",20,0,-65.33862465056613,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,12,-30.18570268179179,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,4,-128.99092986302895,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,0,-130.53862084799422,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-126.40587844645873,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-114.87191821587557,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,0,-264.29634048934776,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",20,0,-84.06477352928842,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-63.91904189304917,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-114.59437274220568,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-152.84207540416156,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-60.93896158506097,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-183.61410970057634,"{0: 10, 1: 6, 2: 6, 3: 1, 4: 2}",0
